ID,Champion,Win Rate
0,Aatrox,0.4641 X 0.5257 X X
1,Ahri,X X 0.5235 X 0.4396
2,Akali,0.459 X 0.5155 X X
3,Akshan,0.5494 X 0.5393 0.58 X
4,Alistar,X X X X 0.4991
5,Amumu,X 0.4587 X X 0.4579
6,Anivia,X X 0.5763 X X
7,Annie,X X 0.511 X X
8,Aphelios,X X X 0.4277 X
9,Ashe,0.3077 X X 0.5161 0.488 
10,Aurelion Sol,X X 0.4923 X X
11,Azir,X X 0.527 X X
12,Bard,X X X X 0.5461
13,Blitzcrank,X X X X 0.5362
14,Brand,X X 0.4603 X 0.5046
15,Braum,X X X X 0.5018
16,Caitlyn,X X X 0.4824 X
17,Camille,0.5141 X 0.6667 0.5 X
18,Cassiopeia,0.6087 X 0.5556 X X
19,Cho'Gath,0.5369 X 0.5158 X X
20,Corki,X X 0.4384 X 0.0
21,Darius,0.4974 X 0.3333 X X
22,Diana,X 0.4789 0.5032 X X
23,Dr. Mundo,0.4676 X 0.5294 X X
24,Draven,X X 0.4808 0.5309 X
25,Ekko,X 0.5156 0.5 X X
26,Elise,X 0.5122 X X X
27,Evelynn,X 0.5136 X X X
28,Ezreal,X X 0.4902 0.4748 X
29,Fiddlesticks,X 0.5429 X X X
30,Fiora,0.5198 X X X X
31,Fizz,X X 0.5318 X X
32,Galio,0.3333 X 0.5288 X 0.4711
33,Gangplank,0.5119 X 0.502 X X
34,Garen,0.5247 X 0.5275 X X
35,Gnar,0.5035 X X X X
36,Gragas,0.4348 0.5825 0.5299 X 0.4949
37,Graves,0.5135 0.5186 0.5098 X X
38,Gwen,0.4789 0.4412 0.3939 X X
39,Hecarim,X 0.4177 X X X
40,Heimerdinger,0.5455 X 0.6308 X 0.591
41,Illaoi,0.4424 X X X X
42,Irelia,0.4399 X 0.4357 0.504 X
43,Ivern,X 0.5114 0.5 X X
44,Janna,X X X X 0.5183
45,Jarvan IV,X 0.4845 X X X
46,Jax,0.4842 X 0.5982 X X
47,Jayce,0.4195 X 0.5116 X X
48,Jhin,X X X 0.5057 X
49,Jinx,X X X 0.4967 X
50,Kai'Sa,X X 0.4314 0.5177 X
51,Kalista,0.2 X X 0.5143 X
52,Karma,0.5124 X 0.5328 X 0.4972
53,Karthus,X 0.4846 0.5098 0.5057 X
54,Kassadin,X X 0.5106 X X
55,Katarina,X X 0.5 0.5429 X 
56,Kayle,0.5126 X 0.486 X X 
57,Kayn,X 0.5473 X X X
58,Kennen,0.4838 X 0.5673 X X
59,Kha'Zix,X 0.5172 X X X
60,Kindred,X 0.5114 X 0.435 X
61,Kled,0.5799 X X 0.5 X
62,Kog'Maw,0.2857 X X 0.543 X
63,LeBlanc,0.4167 X 0.4662 X 0.6
64,Lee Sin,0.4645 0.4714 X X 0.4615
65,Leona,X X X X 0.4802
66,Lillia,X 0.5012 0.3333 X X 
67,Lissandra,X X 0.4815 X X
68,Lucian,0.4549 X 0.4982 0.5057 X
69,Lulu,0.4729 X 0.4804 X 0.4995
70,Lux,0.4729 X 0.4689 X 0.4818
71,Malphite,0.5074 X 0.5301 X X 
72,Malzahar,X X 0.4503 X X 
73,Maokai,X X X 0.6667 0.4959
74,Master Yi,X 0.5267 X X X 
75,Miss Fortune,X X X 0.5021 X 
76,Mordekaiser,0.489 0.5 0.7143 X X
77,Morgana,X 0.5405 0.4483 X 0.4375
78,Nami,X X X X 0.4873
79,Nasus,0.5537 X 0.5484 X X
80,Nautilus,X X X X 0.5208
81,Neeko,0.4828 X 0.4762 0.507 0.5116
82,Nidalee,0.4688 0.5278 X X 0.4915
83,Nocturne,0.519 0.5332 X X X
